Galaxy_name,Asymmetry,Detections
587722981748768939.fits,0.115448548,FALSE
587722982281576630.fits,0.138572784,FALSE
587722982282690733.fits,0.116080549,FALSE
587722982284984491.fits,0.093611979,FALSE
587722982290686147.fits,0.067364449,FALSE
587722982822904047.fits,0.081033101,FALSE
587722982827884615.fits,0.157643715,FALSE
587722982834766290.fits,0.074307244,FALSE
587722983360036986.fits,0.102278908,FALSE
587722983362199802.fits,0.087184201,FALSE
587722983895204043.fits,0.231415652,FALSE
587722983896318174.fits,0.057456687,FALSE
587722984426504308.fits,0.079456337,FALSE
587722984429387955.fits,0.099505801,FALSE
587722984436334703.fits,0.162685349,FALSE
587722984438366382.fits,0.093237612,FALSE
587724197745983628.fits,0.158113563,FALSE
587724197747556431.fits,0.120385708,FALSE
587724198283837539.fits,0.152043186,FALSE
587724199885013129.fits,0.083348884,FALSE
587724199894057120.fits,0.084467407,FALSE
587724232100937914.fits,0.062658061,FALSE
587724232102641838.fits,0.152091205,FALSE
587724232103952576.fits,0.065671907,FALSE
587724232105263263.fits,0.100352681,FALSE
587724232110375026.fits,0.111690385,FALSE
587724232110571633.fits,0.085634012,FALSE
587724232638201976.fits,0.075277728,FALSE
587724233177432150.fits,0.096910707,FALSE
587724233181036695.fits,0.066826376,FALSE
587724233712730291.fits,0.114650653,FALSE
587724233714171917.fits,0.141318378,FALSE
587724233715089659.fits,0.110959852,FALSE
587724240151052371.fits,0.255788578,FALSE
587724242299781258.fits,0.097189457,FALSE
587724242308235423.fits,0.12331762,FALSE
587724648180875366.fits,0.120286957,FALSE
587724648719188275.fits,0.055341261,FALSE
587724649256714421.fits,0.076739602,FALSE
587724649256779959.fits,0.266388226,FALSE
587724649798566084.fits,0.076831957,FALSE
587724649799942282.fits,0.060531786,FALSE
587724650339696757.fits,0.084146162,FALSE
587725040089235662.fits,0.227809349,FALSE
587725040091070730.fits,0.103952163,FALSE
587725040093298701.fits,0.086369648,FALSE
587725040093626503.fits,0.095025791,FALSE
587725041163043005.fits,0.103827377,FALSE
587725041170645081.fits,0.11530564,FALSE
587725041701290146.fits,0.091978716,FALSE
587725041705877616.fits,0.089505401,FALSE
587725041708892223.fits,0.121519651,FALSE
587725074458476803.fits,0.158241848,FALSE
587725468524413060.fits,0.111075396,FALSE
587725469052371011.fits,0.286132066,FALSE
587725469053288552.fits,0.118709435,FALSE
587725469062398203.fits,0.075122224,FALSE
587725469597302975.fits,0.089118494,FALSE
587725469599596672.fits,0.101411329,FALSE
587725470133649653.fits,0.094944732,FALSE
587725470135222371.fits,0.109149203,FALSE
587725470673338467.fits,0.309571188,FALSE
587725471204835532.fits,0.104929886,FALSE
587725471206080731.fits,0.102410931,FALSE
587725473344979188.fits,0.096365959,FALSE
587725474417279139.fits,0.135632595,FALSE
587725475493970019.fits,0.132455448,FALSE
587725490525634925.fits,0.126625693,FALSE
587725492137558319.fits,0.071117659,FALSE
587725504483295458.fits,0.08685209,FALSE
587725550664220860.fits,0.085015967,FALSE
587725550672871529.fits,0.09802751,FALSE
587725551196897456.fits,0.072143879,FALSE
587725551199584474.fits,0.086050398,FALSE
587725551212363947.fits,0.069212856,FALSE
587725551214198930.fits,0.185217748,FALSE
587725551728525413.fits,0.207713512,FALSE
587725551751331958.fits,0.066678529,FALSE
587725552275882201.fits,0.14569013,FALSE
587725552283549876.fits,0.132925563,FALSE
587725552824615008.fits,0.069919351,FALSE
587725575886536926.fits,0.128063153,FALSE
587725575888896190.fits,0.120511591,FALSE
587725576423801079.fits,0.105944393,FALSE
587725578037100759.fits,0.35046265,FALSE
587725590381461630.fits,0.143289821,FALSE
587725590381789417.fits,0.305869599,FALSE
587725773996359933.fits,0.089046856,FALSE
587725774532509953.fits,0.178480328,FALSE
587725775067742607.fits,0.124117428,FALSE
587725775069773978.fits,0.072937214,FALSE
587725775071477878.fits,0.075407284,FALSE
587725816418009261.fits,0.113361665,FALSE
587725816424628351.fits,0.083339561,FALSE
587725816424824932.fits,0.105543223,FALSE
587725817494962352.fits,0.128099048,FALSE
587725818033799331.fits,0.113801805,FALSE
587725818034127037.fits,0.08645672,FALSE
587725818575192432.fits,0.106168297,FALSE
587725979616411896.fits,0.103069998,FALSE
587725979617394772.fits,0.212574592,FALSE
587725980154855455.fits,0.168676593,FALSE
587725980154855550.fits,0.143819244,FALSE
587726014004527257.fits,0.080058803,FALSE
587726014540480558.fits,0.090891032,FALSE
587726014548345059.fits,0.083871957,FALSE
587726015070666894.fits,0.07943598,FALSE
587726015083905267.fits,0.078590648,FALSE
587726015090786626.fits,0.087348808,FALSE
587726015091704192.fits,0.093343243,FALSE
587726015092949382.fits,0.098231902,FALSE
587726015093408026.fits,0.086440984,FALSE
587726015605244036.fits,0.072657969,FALSE
587726015609503878.fits,0.088970631,FALSE
587726015618285671.fits,0.077364441,FALSE
587726016679706769.fits,0.071447493,FALSE
587726016681345128.fits,0.074540579,FALSE
587726016692093083.fits,0.265747825,FALSE
587726031169454252.fits,0.127265107,FALSE
587726031172206765.fits,0.07375265,FALSE
587726031174172783.fits,0.098340771,FALSE
587726031183806660.fits,0.113441498,FALSE
587726031695184055.fits,0.100820036,FALSE
587726031707242750.fits,0.102476718,FALSE
587726031716876458.fits,0.07713535,FALSE
587726031728083163.fits,0.126409802,FALSE
587726031729131655.fits,0.11550452,FALSE
587726031729459313.fits,0.096050701,FALSE
587726031729459333.fits,0.059210414,FALSE
587726032263512180.fits,0.208033232,FALSE
587726032266133700.fits,0.110966486,FALSE
587726032774758528.fits,0.372232812,FALSE
587726032785506461.fits,0.140023736,FALSE
587726032802283715.fits,0.211026648,FALSE
587726032805232902.fits,0.124945498,FALSE
587726033845747856.fits,0.087953887,FALSE
587726033849417915.fits,0.091835025,FALSE
587726033859379354.fits,0.093066742,FALSE
587726033869340858.fits,0.124124408,FALSE
587726033877074189.fits,0.092724062,FALSE
587726100410532043.fits,0.171364891,FALSE
587726100415840431.fits,0.084227566,FALSE
587726100416036980.fits,0.079542639,FALSE
587726100954677596.fits,0.108299732,FALSE
587726101491482865.fits,0.074744709,FALSE
587726101492728108.fits,0.111166603,FALSE
587726101494825246.fits,0.086468235,FALSE
587726101494825320.fits,0.142844757,FALSE
587726102020751620.fits,0.134727668,FALSE
587726102023241905.fits,0.072245196,FALSE
587726102561882147.fits,0.064872914,FALSE
587726102563455149.fits,0.082341725,FALSE
587726877264314838.fits,0.095080364,FALSE
587726877277880449.fits,0.076379828,FALSE
587726877798301756.fits,0.154376042,FALSE
587726877800858210.fits,0.122777098,FALSE
587726877808722139.fits,0.065940426,FALSE
587726878880629104.fits,0.091236466,FALSE
587726878882725948.fits,0.382658329,FALSE
587726879415861652.fits,0.094808275,FALSE
587726879416320435.fits,0.11102197,FALSE
587726879421956195.fits,0.360874799,FALSE
587726879425364080.fits,0.092333517,FALSE
587727178444832905.fits,0.112647081,FALSE
587727178459447469.fits,0.097609444,FALSE
587727178469474402.fits,0.081463969,FALSE
587727178476290203.fits,0.108328096,FALSE
587727178983080072.fits,0.212678358,FALSE
587727178988847281.fits,0.167038575,FALSE
587727179521589378.fits,0.07258338,FALSE
587727179527684257.fits,0.066801144,FALSE
