Name,Asymmetry,Detections
587722982815694957.fits,0.571147727,FALSE
587722984429387944.fits,0.494588707,FALSE
587724198819528759.fits,0.730434299,TRUE
587725774533296253.fits,0.613123787,TRUE
587725818034389095.fits,0.483046181,FALSE
587725993035432304.fits,0.500502829,FALSE
587726016684032065.fits,0.694159689,FALSE
587726031729655814.fits,0.90247083,TRUE
587727179013357583.fits,0.474227345,FALSE
587727222470672469.fits,0.546694243,TRUE
587727867255390382.fits,0.717615955,FALSE
587727867256308040.fits,0.440858558,FALSE
587728666115506288.fits,0.741402057,TRUE
587728906102309121.fits,0.463061116,FALSE
587728906635837540.fits,0.751106841,TRUE
587729228223217760.fits,0.6555123,TRUE
587729386076176389.fits,0.761001186,TRUE
587729387147034695.fits,0.577906103,TRUE
587729773680984272.fits,0.612295266,FALSE
587729777440784657.fits,0.471711918,FALSE
587730022799114306.fits,0.888810549,TRUE
587730023331987591.fits,0.631899717,FALSE
587730774409347786.fits,0.492814337,FALSE
587730818437808228.fits,0.448333693,FALSE
587730847428968484.fits,0.530705278,TRUE
587732771577069744.fits,0.875840755,TRUE
587732772121805075.fits,0.513845337,FALSE
587733080810324044.fits,0.832355702,TRUE
587733429234237590.fits,0.44207357,FALSE
587733603734388952.fits,0.621290309,TRUE
587734893824704652.fits,0.92082325,FALSE
587735660477743159.fits,0.936662941,TRUE
587735664779264022.fits,0.493432939,TRUE
587735696440623187.fits,0.444823103,FALSE
587735743693848946.fits,0.787029254,FALSE
587736542023122964.fits,0.749912221,FALSE
587736542026858577.fits,0.474146196,TRUE
587736584979808442.fits,0.999853098,TRUE
587736585509863438.fits,0.498592888,TRUE
587736585514713519.fits,0.589882591,FALSE
587736586042671388.fits,0.672313982,FALSE
587736619321655535.fits,0.505647983,FALSE
587736619866849477.fits,0.748306551,TRUE
587736619867963764.fits,0.466726113,FALSE
587736753543905454.fits,0.786863745,TRUE
587736920509645063.fits,0.654007057,TRUE
587736976882663708.fits,0.475003389,FALSE
587737808494395515.fits,0.427063955,FALSE
587737827290448037.fits,0.751153001,FALSE
587738196659077271.fits,0.604853216,TRUE
587738409249734815.fits,0.481543633,FALSE
587738569249128591.fits,0.744171055,TRUE
587738569782264010.fits,0.445386201,FALSE
587738570317561947.fits,0.896156538,FALSE
587739097520799819.fits,0.602712026,FALSE
587739167310807244.fits,0.737035718,FALSE
587739304213217330.fits,0.485494096,FALSE
587739385279152218.fits,0.837431854,TRUE
587739406795341869.fits,0.776228653,TRUE
587739406805762069.fits,0.594040251,FALSE
587739408383606849.fits,0.42222731,TRUE
587739505012310079.fits,0.420171194,FALSE
587739507151274008.fits,0.594752068,FALSE
587739607549018227.fits,0.743943901,FALSE
587739609175031857.fits,0.730623411,FALSE
587739707948990522.fits,0.405490825,FALSE
587739720846934450.fits,0.769717598,FALSE
587739809418969174.fits,0.469613269,FALSE
587739809946468493.fits,0.550781392,FALSE
587739811030761519.fits,0.875008185,TRUE
587739815315964115.fits,0.595409221,FALSE
587739827674022085.fits,0.621607134,FALSE
587739829282078729.fits,0.708916656,FALSE
587741532764700775.fits,0.562858675,FALSE
587741532766142675.fits,0.778894416,TRUE
587741816768889103.fits,0.803840065,TRUE
587742013827252289.fits,0.68090313,FALSE
587742014909775877.fits,0.912753017,FALSE
587742061616758804.fits,0.429468125,TRUE
587742061619839210.fits,0.841993563,FALSE
587742566784106610.fits,0.421433793,FALSE
587742572149080091.fits,0.716881151,TRUE
587742611067568140.fits,0.529250768,TRUE
587742611346948260.fits,0.815739228,TRUE
587742775637311549.fits,0.871579301,TRUE
587744728761761895.fits,0.53764911,FALSE
587744873711600007.fits,0.570385845,TRUE
587744873715597513.fits,0.409561021,FALSE
587745243615658415.fits,0.692000309,FALSE
587745243620573286.fits,0.809306048,TRUE
587745243629617322.fits,0.866793096,TRUE
587745540508745734.fits,0.873869204,TRUE
588013382192005184.fits,0.855105717,TRUE
588013383257686454.fits,0.571888031,FALSE
588016840705704048.fits,0.505601975,TRUE
588017111293296655.fits,0.879772458,TRUE
588017570851061813.fits,0.958905273,TRUE
588017604692738117.fits,0.879199935,TRUE
588017627780415498.fits,0.80285868,TRUE
588017702403899406.fits,0.594386694,TRUE
588017719569940508.fits,0.641703884,TRUE
588017725484630253.fits,0.654150389,FALSE
588017726005837972.fits,0.445491411,FALSE
588017726007607386.fits,0.783824515,FALSE
588017977277480991.fits,0.760400569,TRUE
588017978910769274.fits,0.843281858,TRUE
588017979450458291.fits,0.518865488,FALSE
588018090541318282.fits,0.503729579,FALSE
588023669173584097.fits,0.452837682,FALSE
588298661975359559.fits,0.584875762,TRUE
