Galaxy_name,A_flux_180,A_binary_180,A_flux_90,A_binary_90,Min_A_flux_180,Min_A_binary_180
587722981748768939.fits,0.232615204,0.266219239,0.188735909,0.212527964,0.115448548,0.203579418
587722982281576630.fits,0.202132149,0.209125475,0.622090491,0.619011407,0.138572784,0.126996198
587722982282690733.fits,0.223921555,0.086829268,0.203510863,0.110243902,0.116080549,0.094634146
587722982284984491.fits,0.189151842,0.181473045,0.192416988,0.15261959,0.093611979,0.114654518
587722982290686147.fits,0.201184776,0.225433526,0.302914391,0.335260116,0.067364449,0.153179191
587722982815694957.fits,0.666611461,0.649838883,0.624434721,0.57518797,0.571147727,0.528464017
587722982822904047.fits,0.118084122,0.116751269,0.286988644,0.34822335,0.081033101,0.102538071
587722982827884615.fits,0.164616606,0.171786121,0.36395096,0.473265074,0.157643715,0.162684869
587722982834766290.fits,0.195227678,0.130346232,0.162267056,0.139511202,0.074307244,0.079429735
587722983360036986.fits,0.127820245,0.122310306,0.243905282,0.276896942,0.102278908,0.124575311
587722983362199802.fits,0.219002906,0.226993865,0.535709244,0.527607362,0.087184201,0.145194274
587722983895204043.fits,0.28736,0.392523364,0.570925217,0.607476636,0.231415652,0.292834891
587722983896318174.fits,0.224750854,0.161554192,0.175882032,0.155419223,0.057456687,0.079754601
587722984426504308.fits,0.164556788,0.194409149,0.194205528,0.214739517,0.079456337,0.113087675
587722984429387944.fits,0.499630147,0.46124031,0.544763303,0.465116279,0.494588707,0.475193798
587722984429387955.fits,0.128377608,0.09716824,0.334616361,0.195446974,0.099505801,0.084952804
587722984436334703.fits,0.260266615,0.210153974,0.270883978,0.178942988,0.162685349,0.080316271
587722984438366382.fits,0.118033554,0.103174603,0.518682794,0.603174603,0.093237612,0.126984127
587724197745983628.fits,0.227429042,0.24236082,0.270638881,0.255336961,0.158113563,0.147760569
587724197747556431.fits,0.120385708,0.190947666,0.596900731,0.599717115,0.120385708,0.190947666
587724198283837539.fits,0.190174265,0.157688541,0.183091362,0.182664055,0.152043186,0.160626836
587724198819528759.fits,0.770640221,0.763963964,0.750576433,0.736036036,0.730434299,0.731531532
587724199885013129.fits,0.083348884,0.076780759,0.764598401,0.774899784,0.083348884,0.076780759
587724199894057120.fits,0.132550715,0.117866005,0.158748013,0.170595533,0.084467407,0.080645161
587724232100937914.fits,0.17916263,0.184713376,0.150641469,0.181528662,0.062658061,0.116772824
587724232102641838.fits,0.299987505,0.252469813,0.607659124,0.586717892,0.152091205,0.20417124
587724232103952576.fits,0.176203575,0.149868536,0.173155815,0.157756354,0.065671907,0.058720421
587724232105263263.fits,0.141685181,0.153846154,0.529735544,0.481518482,0.100352681,0.102897103
587724232110375026.fits,0.340195932,0.33877551,0.479046373,0.536734694,0.111690385,0.142857143
587724232110571633.fits,0.235949686,0.172222222,0.207915261,0.216666667,0.085634012,0.111111111
587724232638201976.fits,0.160421504,0.147744946,0.543292255,0.514774495,0.075277728,0.113530327
587724233177432150.fits,0.187655118,0.224852071,0.348897818,0.420118343,0.096910707,0.159763314
587724233181036695.fits,0.232241694,0.192488263,0.319153307,0.292644757,0.066826376,0.079812207
587724233712730291.fits,0.140943366,0.11091314,0.374447697,0.387082405,0.114650653,0.101113586
587724233714171917.fits,0.141318378,0.129761136,0.22073381,0.245965139,0.141318378,0.129761136
587724233715089659.fits,0.347500804,0.326034063,0.660203736,0.624087591,0.110959852,0.167883212
587724240151052371.fits,0.420813084,0.339130435,0.49676065,0.44057971,0.255788578,0.234782609
587724242299781258.fits,0.184321896,0.069705094,0.193803139,0.194369973,0.097189457,0.144772118
587724242308235423.fits,0.315274193,0.259016393,0.40812768,0.37704918,0.12331762,0.121311475
587724648180875366.fits,0.130938247,0.124968695,0.252704983,0.237665915,0.120286957,0.12421738
587724648719188275.fits,0.211532583,0.152892562,0.484301539,0.518595041,0.055341261,0.074380165
587724649256714421.fits,0.203574897,0.214285714,0.302421946,0.314849624,0.076739602,0.161654135
587724649256779959.fits,0.386872279,0.32977588,0.344319731,0.307363927,0.266388226,0.287086446
587724649798566084.fits,0.223745649,0.216061185,0.679314936,0.706500956,0.076831957,0.133843212
587724649799942282.fits,0.108291877,0.070328447,0.180674046,0.159584338,0.060531786,0.055112266
587724650339696757.fits,0.184971793,0.184186882,0.171580495,0.159928122,0.084146162,0.130278527
587725040089235662.fits,0.29270297,0.312602291,0.353346697,0.284779051,0.227809349,0.224222586
587725040091070730.fits,0.111840038,0.144395826,0.279651914,0.283069674,0.103952163,0.139010434
587725040093298701.fits,0.116829283,0.119945634,0.145087724,0.116038056,0.086369648,0.09650017
587725040093626503.fits,0.157918751,0.141573034,0.232732953,0.237078652,0.095025791,0.107865169
587725041163043005.fits,0.128993194,0.134401114,0.135933818,0.164345404,0.103827377,0.144846797
587725041170645081.fits,0.138565517,0.13088617,0.216588151,0.219503152,0.11530564,0.111605488
587725041701290146.fits,0.246411706,0.20083682,0.362820086,0.330543933,0.091978716,0.117154812
587725041705877616.fits,0.135782287,0.09787234,0.140939834,0.138723404,0.089505401,0.096170213
587725041708892223.fits,0.248548194,0.268837209,0.205027442,0.208372093,0.121519651,0.19255814
587725074458476803.fits,0.314558132,0.23473142,0.444649681,0.395879323,0.158241848,0.090507726
587725468524413060.fits,0.176554148,0.122905028,0.15345254,0.139664804,0.111075396,0.173184358
587725469052371011.fits,0.442654894,0.383710407,0.38905603,0.328054299,0.286132066,0.228054299
587725469053288552.fits,0.221131509,0.175972927,0.241791071,0.205583756,0.118709435,0.126903553
587725469062398203.fits,0.25456628,0.190751445,0.193999162,0.158959538,0.075122224,0.086705202
587725469597302975.fits,0.270598623,0.188251001,0.694917521,0.648865154,0.089118494,0.100133511
587725469599596672.fits,0.164054795,0.131707317,0.17771492,0.2,0.101411329,0.16097561
587725470133649653.fits,0.13550827,0.15092291,0.397861637,0.457111835,0.094944732,0.105320304
587725470135222371.fits,0.185034344,0.166952348,0.16851063,0.14809736,0.109149203,0.081247857
587725470673338467.fits,0.330896228,0.247747748,0.418013262,0.32957958,0.309571188,0.235735736
587725471204835532.fits,0.223903127,0.126385809,0.245035959,0.195121951,0.104929886,0.101995565
587725471206080731.fits,0.184623509,0.147540984,0.203873001,0.172131148,0.102410931,0.139344262
587725473344979188.fits,0.177094559,0.203125,0.166512657,0.20703125,0.096365959,0.153645833
587725474417279139.fits,0.171867581,0.117698344,0.175024328,0.157367044,0.135632595,0.111595466
587725475493970019.fits,0.176600227,0.128571429,0.39949421,0.395238095,0.132455448,0.195238095
587725490525634925.fits,0.17180989,0.153153153,0.152828647,0.134009009,0.126625693,0.164414414
587725492137558319.fits,0.110178716,0.143237251,0.096403385,0.116186253,0.071117659,0.096230599
587725504483295458.fits,0.161515251,0.1584,0.412634063,0.424,0.08685209,0.1776
587725550664220860.fits,0.165586954,0.143131604,0.199774632,0.243035543,0.085015967,0.110470701
587725550672871529.fits,0.181949558,0.162790698,0.192022857,0.194767442,0.09802751,0.139534884
587725551196897456.fits,0.201299294,0.149051491,0.174439386,0.132791328,0.072143879,0.067750678
